Binary Heap
-----------------
[518] 0->643->578->181->1
[369] 0->597->2
[326] 0->246->3
[476] 0->930->119->262->4
[442] 0->930->595->5
[439] 0->859->6
[346] 0->112->569->7
[402] 0->643->8
[410] 0->643->929->9
[354] 0->199->471->10
[506] 0->643->745->11
[448] 0->643->627->12
[394] 0->930->748->13
[429] 0->930->164->14
[470] 0->199->527->15
[419] 0->199->682->16
[427] 0->112->813->17
[477] 0->112->569->7->18
[379] 0->112->867->19
[405] 0->930->20
[433] 0->112->21
[357] 0->643->627->22
[379] 0->643->497->23
[361] 0->930->194->24
[263] 0->199->25
[423] 0->643->88->26
[433] 0->270->27
[464] 0->643->674->550->28
[453] 0->643->823->29
[447] 0->930->414->30
[382] 0->199->471->31
[476] 0->199->913->918->32
[406] 0->930->484->33
[410] 0->199->471->34
[465] 0->930->119->262->35
[291] 0->597->36
[465] 0->643->497->37
[477] 0->199->38
[467] 0->112->39
[359] 0->643->88->40
[339] 0->643->570->41
[364] 0->930->164->42
[404] 0->525->43
[481] 0->643->627->82->44
[339] 0->859->45
[381] 0->643->46
[389] 0->199->682->47
[290] 0->643->48
[380] 0->643->88->49
[465] 0->930->428->704->50
[404] 0->930->748->51
[340] 0->52
[453] 0->930->336->53
[504] 0->199->299->399->54
[312] 0->246->55
[446] 0->643->700->56
[428] 0->199->398->57
[450] 0->112->746->58
[331] 0->643->390->59
[417] 0->199->682->60
[452] 0->643->502->61
[467] 0->930->414->62
[310] 0->597->63
[384] 0->930->517->64
[427] 0->930->484->65
[447] 0->859->105->66
[373] 0->597->67
[449] 0->112->265->68
[379] 0->643->929->69
[438] 0->112->807->70
[402] 0->199->25->71
[443] 0->643->390->410->72
[430] 0->199->25->73
[391] 0->930->619->74
[393] 0->643->551->75
[389] 0->930->76
[343] 0->643->390->77
[408] 0->112->356->78
[392] 0->199->892->79
[346] 0->112->80
[350] 0->930->748->81
[380] 0->643->627->82
[273] 0->643->83
[346] 0->112->265->84
[389] 0->643->497->85
[499] 0->643->570->995->86
[436] 0->643->167->87
[259] 0->643->88
[394] 0->930->336->89
[383] 0->199->299->90
[427] 0->246->574->91
[456] 0->643->88->92
[500] 0->643->122->774->93
[355] 0->930->119->94
[306] 0->95
[436] 0->597->803->96
[328] 0->643->570->97
[424] 0->643->122->98
[350] 0->643->929->99
[414] 0->930->164->100
[364] 0->112->265->101
[473] 0->859->124->102
[383] 0->112->867->103
[386] 0->112->104
[329] 0->859->105
[434] 0->199->106
[395] 0->930->461->107
[394] 0->199->398->108
[344] 0->109
[371] 0->112->312->110
[416] 0->643->48->111
[135] 0->112
[381] 0->113
[475] 0->930->812->114
[460] 0->643->800->115
[424] 0->597->63->116
[400] 0->930->117
[400] 0->199->145->118
[216] 0->930->119
[268] 0->112->120
[377] 0->930->164->121
[262] 0->643->122
[377] 0->643->957->123
[359] 0->859->124
[384] 0->930->336->125
[420] 0->930->164->126
[479] 0->643->700->127
[429] 0->597->803->128
[455] 0->129
[471] 0->643->551->130
[417] 0->112->508->131
[332] 0->199->132
[471] 0->597->188->133
[440] 0->112->898->134
[394] 0->930->119->135
[506] 0->930->119->262->136
[417] 0->643->238->137
[417] 0->643->570->138
[467] 0->643->502->981->139
[453] 0->607->425->140
[446] 0->643->167->141
[532] 0->597->63->378->142
[302] 0->246->143
[309] 0->199->144
[259] 0->199->145
[408] 0->112->146
[334] 0->525->147
[446] 0->643->497->148
[431] 0->643->122->149
[378] 0->643->502->150
[415] 0->930->461->151
[392] 0->199->398->152
[412] 0->643->88->153
[399] 0->643->154
[395] 0->199->398->155
[478] 0->643->900->603->156
[419] 0->597->63->157
[356] 0->199->158
[411] 0->112->508->159
[384] 0->246->160
[418] 0->199->398->161
[465] 0->199->145->198->162
[442] 0->643->674->411->163
[248] 0->930->164
[488] 0->873->707->165
[388] 0->246->166
[313] 0->643->167
[389] 0->643->497->168
[396] 0->930->428->169
[487] 0->930->298->170
[451] 0->859->332->171
[493] 0->597->560->172
[416] 0->930->336->173
[429] 0->112->174
[401] 0->930->194->175
[440] 0->930->194->176
[516] 0->643->700->177
[413] 0->930->772->178
[479] 0->643->627->22->179
[412] 0->112->813->180
[410] 0->643->578->181
[366] 0->930->164->182
[521] 0->643->570->995->183
